chm13.chr9      Homo_sapiens_chr9
mGorGor1.chr9   Gorilla_gorilla_chr9
mPanPan1.chr9   Pan_paniscus_chr9
mPanTro3.chr9   Pan_troglodytes_chr9
mPonAbe1.chr9   Pongo_abelii_chr9
mPonPyg2.chr9   Pongo_pygmaeus_chr9
mSymSyn1.chr9   Symphalangus_syndactylus_chr9
chm13.chr10      Homo_sapiens_chr10
mGorGor1.chr10   Gorilla_gorilla_chr10
mPanPan1.chr10   Pan_paniscus_chr10
mPanTro3.chr10   Pan_troglodytes_chr10
mPonAbe1.chr10   Pongo_abelii_chr10
mPonPyg2.chr10   Pongo_pygmaeus_chr10
mSymSyn1.chr10   Symphalangus_syndactylus_chr10
