chm13.chrX      "X. Novel/Pre-existing"
mGorGor1.chrX   "X. Novel/Pre-existing"
mPanPan1.chrX   "X. Novel/Pre-existing"
mPanTro3.chrX   "X. Novel/Pre-existing"
mPonAbe1.chrX   "X. Novel/Pre-existing"
mPonPyg2.chrX   "X. Novel/Pre-existing"
mSymSyn1.chrX   "X. Novel/Pre-existing"
hg002.chrY      "Y. Novel/Pre-existing"
mGorGor1.chrY   "Y. Novel/Pre-existing"
mPanPan1.chrY   "Y. Novel/Pre-existing"
mPanTro3.chrY   "Y. Novel/Pre-existing"
mPonAbe1.chrY   "Y. Novel/Pre-existing"
mPonPyg2.chrY   "Y. Novel/Pre-existing"
mSymSyn1.chrY   "Y. Novel/Pre-existing"
