chm13.chr3      Homo_sapiens_chr3
mGorGor1.chr3   Gorilla_gorilla_chr3
mPanPan1.chr3   Pan_paniscus_chr3
mPanTro3.chr3   Pan_troglodytes_chr3
mPonAbe1.chr3   Pongo_abelii_chr3
mPonPyg2.chr3   Pongo_pygmaeus_chr3
mSymSyn1.chr3   Symphalangus_syndactylus_chr3
chm13.chr4      Homo_sapiens_chr4
mGorGor1.chr4   Gorilla_gorilla_chr4
mPanPan1.chr4   Pan_paniscus_chr4
mPanTro3.chr4   Pan_troglodytes_chr4
mPonAbe1.chr4   Pongo_abelii_chr4
mPonPyg2.chr4   Pongo_pygmaeus_chr4
mSymSyn1.chr4   Symphalangus_syndactylus_chr4
