chm13.chr17      Homo_sapiens_chr17
mGorGor1.chr17   Gorilla_gorilla_chr17
mPanPan1.chr17   Pan_paniscus_chr17
mPanTro3.chr17   Pan_troglodytes_chr17
mPonAbe1.chr17   Pongo_abelii_chr17
mPonPyg2.chr17   Pongo_pygmaeus_chr17
mSymSyn1.chr17   Symphalangus_syndactylus_chr17
chm13.chr18      Homo_sapiens_chr18
mGorGor1.chr18   Gorilla_gorilla_chr18
mPanPan1.chr18   Pan_paniscus_chr18
mPanTro3.chr18   Pan_troglodytes_chr18
mPonAbe1.chr18   Pongo_abelii_chr18
mPonPyg2.chr18   Pongo_pygmaeus_chr18
mSymSyn1.chr18   Symphalangus_syndactylus_chr18
