chm13.chr7      Homo_sapiens_chr7
mGorGor1.chr7   Gorilla_gorilla_chr7
mPanPan1.chr7   Pan_paniscus_chr7
mPanTro3.chr7   Pan_troglodytes_chr7
mPonAbe1.chr7   Pongo_abelii_chr7
mPonPyg2.chr7   Pongo_pygmaeus_chr7
mSymSyn1.chr7   Symphalangus_syndactylus_chr7
chm13.chr8      Homo_sapiens_chr8
mGorGor1.chr8   Gorilla_gorilla_chr8
mPanPan1.chr8   Pan_paniscus_chr8
mPanTro3.chr8   Pan_troglodytes_chr8
mPonAbe1.chr8   Pongo_abelii_chr8
mPonPyg2.chr8   Pongo_pygmaeus_chr8
mSymSyn1.chr8   Symphalangus_syndactylus_chr8
