chm13.chr15      Homo_sapiens_chr15
mGorGor1.chr15   Gorilla_gorilla_chr15
mPanPan1.chr15   Pan_paniscus_chr15
mPanTro3.chr15   Pan_troglodytes_chr15
mPonAbe1.chr15   Pongo_abelii_chr15
mPonPyg2.chr15   Pongo_pygmaeus_chr15
mSymSyn1.chr15   Symphalangus_syndactylus_chr15
chm13.chr16      Homo_sapiens_chr16
mGorGor1.chr16   Gorilla_gorilla_chr16
mPanPan1.chr16   Pan_paniscus_chr16
mPanTro3.chr16   Pan_troglodytes_chr16
mPonAbe1.chr16   Pongo_abelii_chr16
mPonPyg2.chr16   Pongo_pygmaeus_chr16
mSymSyn1.chr16   Symphalangus_syndactylus_chr16
