chm13.chr19      Homo_sapiens_chr19
mGorGor1.chr19   Gorilla_gorilla_chr19
mPanPan1.chr19   Pan_paniscus_chr19
mPanTro3.chr19   Pan_troglodytes_chr19
mPonAbe1.chr19   Pongo_abelii_chr19
mPonPyg2.chr19   Pongo_pygmaeus_chr19
mSymSyn1.chr19   Symphalangus_syndactylus_chr19
chm.chr20        Homo_sapiens_chr20
mGorGor1.chr20   Gorilla_gorilla_chr20
mPanPan1.chr20   Pan_paniscus_chr20
mPanTro3.chr20   Pan_troglodytes_chr20
mPonAbe1.chr20   Pongo_abelii_chr20
mPonPyg2.chr20   Pongo_pygmaeus_chr20
mSymSyn1.chr20   Symphalangus_syndactylus_chr20
