chm13.chr1      Homo_sapiens_chr1
mGorGor1.chr1   Gorilla_gorilla_chr1
mPanPan1.chr1   Pan_paniscus_chr1
mPanTro3.chr1   Pan_troglodytes_chr1
mPonAbe1.chr1   Pongo_abelii_chr1
mPonPyg2.chr1   Pongo_pygmaeus_chr1
mSymSyn1.chr1   Symphalangus_syndactylus_chr1
chm13.chr2      Homo_sapiens_chr2
mGorGor1.chr2   Gorilla_gorilla_chr2
mPanPan1.chr2   Pan_paniscus_chr2
mPanTro3.chr2   Pan_troglodytes_chr2
mPonAbe1.chr2   Pongo_abelii_chr2
mPonPyg2.chr2   Pongo_pygmaeus_chr2
mSymSyn1.chr2   Symphalangus_syndactylus_chr2
