chm13.chr21      Homo_sapiens_chr21
mGorGor1.chr21   Gorilla_gorilla_chr21
mPanPan1.chr21   Pan_paniscus_chr21
mPanTro3.chr21   Pan_troglodytes_chr21
mPonAbe1.chr21   Pongo_abelii_chr21
mPonPyg2.chr21   Pongo_pygmaeus_chr21
mSymSyn1.chr21   Symphalangus_syndactylus_chr21
chm13.chr22      Homo_sapiens_chr22
mGorGor1.chr22   Gorilla_gorilla_chr22
mPanPan1.chr22   Pan_paniscus_chr22
mPanTro3.chr22   Pan_troglodytes_chr22
mPonAbe1.chr22   Pongo_abelii_chr22
mPonPyg2.chr22   Pongo_pygmaeus_chr22
mSymSyn1.chr22   Symphalangus_syndactylus_chr22
