chm13.chr5      Homo_sapiens_chr5
mGorGor1.chr5   Gorilla_gorilla_chr5
mPanPan1.chr5   Pan_paniscus_chr5
mPanTro3.chr5   Pan_troglodytes_chr5
mPonAbe1.chr5   Pongo_abelii_chr5
mPonPyg2.chr5   Pongo_pygmaeus_chr5
mSymSyn1.chr5   Symphalangus_syndactylus_chr5
chm13.chr6      Homo_sapiens_chr6
mGorGor1.chr6   Gorilla_gorilla_chr6
mPanPan1.chr6   Pan_paniscus_chr6
mPanTro3.chr6   Pan_troglodytes_chr6
mPonAbe1.chr6   Pongo_abelii_chr6
mPonPyg2.chr6   Pongo_pygmaeus_chr6
mSymSyn1.chr6   Symphalangus_syndactylus_chr6
